rno,Be_Effective,Immediate_Relief,Fix_Root_Cause,No_Side_Effect,Right_Price,Not_Too_Strong,Good_Brand,Easy_To_Find,Reduce_Gas,Protect_Stomach,Convenient_Dose,Long_Term_Effective,Good_Taste,Doc_Reccomend,Sustained_Relief,Flavours,Multiple_Forms,q14a1_1,edresp,occresp,medied,qlfn_2,qlfn_1,qlfn_3,cook_1,cook_2,cook_3,eatfreq,travel,daystrav,ailment1,ailment2,ailment3,ailment4,occcwe,edcwe,sec,mhi,ageresp,sexresp,edhw,workhw,lang_1,lang_2,anydr,chemist,family,expmedi,moub,cluster
30,5,5,5,5,5,5,5,2,5,5,2,5, ,5,5,4,4,1,6,52,2,30, , ,4, , ,9,2, ,97, , , ,52,6,A2,5, , ,6,1,2, ,2,3,3,100,1,2
31,5,5,5,5,5,4,4,4,3,3,3,5,4,3,5,4,4,1,3,68,2,38, , ,4, , ,9,2, ,2, , , ,51,3,D,3, ,1,3,3,2, ,2,3,1,100,1,2
32,5,5,5,5,5,4,4,4,4,4,4,4,5,4,5,4,4,1,1,68,2,99, , ,4, , ,9,2, ,97, , , ,49,3,E1,3,60,2,1,3,2, ,2,3,2,100, ,2
33,4,5,4,5,4,3,3,5,5,4,5,5,5,5,5,5,4,1,4,49,2,4, , ,4, , ,7,1,1,97, , , ,49,1,E2,4,21,2,1,3,2, ,2,3,1,3000,1,0
34,5,5,5,5,5,1,1,3,3,3,3,3,3, ,3,3,4,1,6,57,2,30,5, ,4, , ,9,2, ,97, , , ,55,7,A1,5, , ,6,1,2, ,2,3,1,300,1,2
35,5,5,5,5,5,4,4,4,4,4,4,4,4,3,5,5,5,1,3,68,2,38, , ,4, , ,9,2, ,97, , , ,51,3,D,3,45,2,3,3,2, ,2,3,1,100,1,2
36,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,68,2,4, , ,4, , ,8,2, ,97, , , ,65,6,B1,4, , ,3,3,2, ,2,3,2,200,1,1
37,5,4,4,5,5,4,5,5,5,5,5,4,5,5,4,2,3,1,6,50,2,30, , ,4, , ,9,2, ,97, , , ,50,6,B2,3, , ,1,3,2, ,2,3,1,50,9,3
38,5,5,5,5,5,3,4,5,4,4,5,3,5,3,5,5,4,1,1,51,2,99, , ,4, , ,9,2, ,97, , , ,53,4,B1,4, , ,1,2,2, ,2,3,1,200,1,2
39,5,4,3,5,2,5,5,3, ,1,4,5,3,5,3,5,3,1,4,49,2,1, , ,4, , ,1,2, ,97, , , ,65,6,B1,10,40,1,6,1,2, ,2,3,1,100,10,4
40,5,5,5,5,1,1,5,3,4,3,3,5,3,3,5,5,4,1,1,68,2,99, , ,4, , ,9,2, ,1,2, , ,49,1,E2,3,40,2,1,3,2, ,2,3,1,100,1,2
41,5,5,5,5,5,3,4,4,4,3,3,3,5,4,4,4,4,1,1,68,9,99, , ,4, , ,9,2, ,97, , , ,49,3,E1,3, ,1,1,3,2, ,2,3,1,50,1,2
42,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1,4,50,2,1, , ,4, , ,9,2, ,97, , , ,52,4,B2,3,25,1,6,1,2, ,2,3,1,25,1,2
43,5,5,5,5,5,4,4,5,5,4,4,4,4,4,5,5,5,1,8,68,2,99, , ,4, , ,9,2, ,97, , , ,57,6,B1,3, ,1,4,3,2, ,2,3,1,100,1,1
44,4,3,4,3,5,5,5,4,3,4,4,4,5,3,2,4,4,1,1,68,2,99, , ,2,3, ,4,1,3,2, , , ,66,6,A2,5, , ,1,3,2, ,2,3,1,400,1,4
